	-250	-240	-230	-220	-210	-200	-190	-180	-170	-160	-150	-140	-130	-120	-110	-100	-90	-80	-70	-60	-50	-40	-30	-20	-10	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	
12	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-2	-3	-4	-4	-4	-4	-4	-4	
13	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-2	-3	-4	-4	-4	-4	-4	-4	
14	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-2	-3	-4	-4	-4	-4	-4	-4	
15	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-2	-3	-4	-4	-4	-4	-4	-4	
16	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	6	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-3	-3	-3	-3	-3	-3	
17	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	5	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	-2	-2	-2	-2	-2	-2	
18	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	5	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	-2	-2	-2	-2	-2	-2	
19	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	0	-1	-1	-1	-1	-1	-1	
20	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	0	-1	-1	-1	-1	-1	-1	
21	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	0	-1	-1	-1	-1	-1	-1	
22	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	6	3	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	1	0	0	0	0	0	0	0	0	0	
23	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	7	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	0	0	0	0	0	0	0	0	
24	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	1	1	0	0	0	0	0	0	0	
25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	9	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	1	0	0	0	0	0	0	0	
26	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	9	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	1	0	0	0	0	0	0	0	
27	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	9	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	1	0	0	0	0	0	0	0	
28	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	9	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	1	0	0	0	0	0	0	0	
29	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	9	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	1	0	0	0	0	0	0	0	
30	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	9	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	1	0	0	0	0	0	0	0	
